PortfolioID,AnnualReturn,Volatility,Sharpe,ETFs,Weights
84,0.122284716096396,0.200762097058176,0.6091026039689198,"IJT,SWPPX,QQQ,VGSLX","0.1836248495661007,0.4783853903018074,0.21536324357557549,0.12262651655651637"
85,0.11181056012051646,0.19195081320090118,0.5824958918173082,"IJT,SPY,MACSX,EWG","0.3105667397308178,0.3794736850010095,0.10827608116880656,0.20168349409936623"
86,0.10942219357745996,0.18494538851576325,0.5916459688754753,"VVIAX,VTRIX,SWSSX,EFA,SWPPX,MDY,EWW,VGENX,TGINX","0.1417931085202495,0.023702678757929318,0.13104031783827577,0.1609856041161933,0.20947886725055959,0.11404395812946552,0.08879163840609597,0.04969761437439119,0.08046621260683973"
87,0.11537571314273828,0.176596798956582,0.6533284511635146,"EWU,VTI,EWG,FLPSX,VBIRX,VGSLX,MACSX,VTSAX,EWW,IVV,IJT","0.15011042109291448,0.07019951598363107,0.03844828525984024,0.13115373990278845,0.054227438783340506,0.08558797272107045,0.08255188361664037,0.1283479542404804,0.027058255908881033,0.06179061273234206,0.1705239197580711"
88,0.11073363423102758,0.18358665498496132,0.6031682108925533,"IJS,SWSSX,VFIAX,VVIAX,VTSAX,TGINX,MASKX,EWU,SLYV,JUEAX,EFA,SPY","0.1114161214373575,0.06340193773885601,0.10521200951214056,0.10907738547846817,0.13499632130540531,0.10029260027079426,0.06826366201917473,0.03876824050532412,0.09628470499113861,0.04951239141141629,0.06923276406740039,0.053541861262524075"
89,0.12078118504459068,0.17472250735254014,0.6912743347992868,"IJT,MACSX,SWPPX,SPY,MASKX,FLPSX","0.25410635707236184,0.19728688283315132,0.20050095859687728,0.27408867659362757,0.004753604144482789,0.06926352075949925"
90,0.12699277974033998,0.17951545767869947,0.7074197474828843,"YACKX,IJS,SWPPX,IVV,VGSLX,FEMKX,VBIRX,VTSAX,QQQ,EWG","0.23536927964745205,0.24542552754627955,0.1796455164917064,0.0360764941748179,0.09158608518808561,0.049964374688667636,0.05887256609435626,0.057141268726502846,0.02366128460432863,0.02225760283780296"
91,0.11696778818142227,0.19533493859418397,0.5988062812686442,"JUEAX,EFA,FLPSX,SLYV,SPY,IVV,EWW,VTSAX,VFIAX,VTI,VGSLX","0.08323082640286836,0.09140750740416342,0.0026846416561599005,0.16023092805820813,0.10053183652347553,0.1170569293303059,0.07379201206786987,0.23104197178575409,0.0069133642801882285,0.08347693757738305,0.04963304491362362"
92,0.12847577388594092,0.1885173883804478,0.6815062259756293,"FLPSX,SWPPX,SWSSX,VVIAX,VBIRX,MDY,MASKX,IWM,VTI","0.2270362170381332,0.05674111281414544,0.06138907482761866,0.017121884780718796,0.07516010723978221,0.17269784201500377,0.10959628791911141,0.1710320002635624,0.10922547310192415"
93,0.11431870301197593,0.19258983063612237,0.5935863936033504,"SLYV,IVV,VTI,SPY,SWSSX","0.06758578783552462,0.17572754126157838,0.4123658220779195,0.282107810755125,0.06221303806985245"
