PortfolioID,AnnualReturn,Volatility,Sharpe,Assets,Weights
90,0.10171872765682483,0.12694239504243227,0.8012983182082228,"MACSX,SWPPX,TGINX,YACKX","0.17278095626247342,0.504451319426427,0.2829702384130807,0.03979748589801889"
91,0.1324344899335863,0.1663788798869719,0.7959813771048019,"EWG,FLPSX,MACSX","0.32298730512886625,0.2791814145089439,0.39783128036218984"
92,0.13119196213970113,0.14553428675158353,0.9014505452150687,"IJT,JUEAX,MACSX,TGINX","0.11210575313468032,0.40396057772634314,0.35323076131774744,0.13070290782122918"
93,0.08031128013799962,0.09197490500489829,0.8731868778089252,"EWU,SWPPX,TGINX,YACKX","0.147508917073351,0.07131754569356043,0.6694327418020475,0.11174079543104111"
94,0.1116389046041162,0.09783974332807813,1.141038404299227,"FLPSX,MACSX,TGINX","0.33427510053053294,0.15366565182304717,0.51205924764642"
95,0.12720933739675125,0.1175389450412359,1.082273942071904,"FLPSX,MACSX,TGINX,VGENX","0.35809429465968445,0.2528903260105752,0.3162534441370353,0.07276193519270494"
96,0.15730342151016774,0.1931140281197684,0.8145623756167982,"VBIRX,VGENX,YACKX","0.04775879090188028,0.5284090546483577,0.42383215444976197"
97,0.13941139564457025,0.17272076878165188,0.8071489990923426,"FEMKX,MACSX,YACKX","0.5564340433459954,0.14450967421845604,0.2990562824355486"
98,0.0967583235647338,0.14268187306461327,0.678140267481048,"EWU,TGINX,VTI,YACKX","0.2432164890359864,0.28385700746783377,0.3850545507470585,0.08787195274912134"
99,0.10136115828978862,0.09840089114843341,1.0300837432141725,"FLPSX,IVV,TGINX","0.27340610457959014,0.13810159282673104,0.5884923025936788"
100,0.12854546903145594,0.15284396981384976,0.8410241450023366,"SWSSX,VBIRX,VGENX,YACKX","0.3116169972363505,0.22898735052466657,0.1782813202424824,0.2811143319965005"
101,0.12249434847809197,0.2220011544358024,0.5517734751848532,"FLPSX,IWM,MACSX,YACKX","0.048376237274918264,0.8396848437819747,0.012654418353074516,0.09928450059003248"
102,0.10573907191043978,0.13509586893837208,0.7826965601640694,"SWSSX,VBIRX,YACKX","0.469055833167159,0.3721621147188541,0.15878205211398677"
103,0.08342367645188961,0.12249400103876001,0.6810429551198379,"EWU,TGINX,VTI,YACKX","0.32333159798370575,0.4549459072044996,0.1529913587129303,0.06873113609886425"
104,0.11823082543376208,0.11172923533717376,1.0581905897500148,"FLPSX,TGINX,VGENX","0.3966856978661806,0.5090349389586826,0.0942793631751368"
105,0.15465367486736076,0.1847192878741176,0.8372362011960227,"FLPSX,TGINX,VGENX","0.4535776962547502,0.11448241273128264,0.4319398910139672"
106,0.14572788976924964,0.16542134221437998,0.8809497481914494,"EWU,TGINX,VTI,YACKX","0.11971623776668722,0.06496043040745715,0.2841375755944943,0.5311857562313614"
107,0.12048611067886723,0.13542782535406644,0.889670275394771,"EWW,FLPSX,MACSX,TGINX,VBIRX","0.257980430748462,0.31796157002002085,0.11942237107789101,0.20503247759108476,0.09960315056254139"
108,0.14861642846850992,0.1440784518104796,1.0314965673284688,"FEMKX,MACSX,YACKX","0.12907663546538273,0.45449588866438895,0.4164274758702284"
109,0.14246771759099572,0.1493509297153995,0.9539124922923459,"FLPSX,TGINX,VGENX","0.48900648379996314,0.2744472093297057,0.2365463068703312"
110,0.17072492498162317,0.18743304312108186,0.9108582037551125,"EWG,FLPSX,MACSX","0.18463293373143377,0.7990387877512363,0.01632827851732981"
111,0.1450606919792979,0.18920127951279403,0.7667003751393168,"FLPSX,JUEAX,SPY","0.15142468802487052,0.3987081450324392,0.4498671669426904"
112,0.13032707825603443,0.17235678192937195,0.7561470851169617,"FLPSX,IWM,MACSX,YACKX","0.015012132574900024,0.4700697191512502,0.3214116861677717,0.1935064621060781"
113,0.09934718291196129,0.1463498329504769,0.6788335928308113,"EWU,TGINX,YACKX","0.477330759135625,0.2940742535730891,0.22859498729128583"
114,0.13089224357132717,0.12859753918986255,1.0178440769234058,"FLPSX,MACSX,TGINX","0.22522129602416918,0.6872612452984095,0.08751745867742133"
115,0.1269723615466011,0.15772047941492023,0.805046763854749,"MACSX,VTI,YACKX","0.29198248241210983,0.5567957825352616,0.15122173505262848"
116,0.13156799564859534,0.15432073101721358,0.8525620296207623,"EFA,FLPSX,JUEAX,MACSX,QQQ,SWPPX,TGINX,VBIRX","0.05913957198939531,0.2352890404030397,0.17693792756195714,0.02453107516945416,0.08342070095195375,0.24339855991512474,0.15274204636428643,0.02454107764478878"
117,0.12407258723553319,0.1458670146026346,0.8505870060721201,"IJT,JUEAX,MACSX,TGINX","0.22523819098372555,0.34862385168638865,0.22681337444950525,0.19932458288038055"
118,0.1380310276390102,0.17833075940140689,0.7740169340518227,"EWG,FLPSX,MACSX","0.3722511896509425,0.37935380386365036,0.24839500648540713"
119,0.09632670734606644,0.0878990690376907,1.0958785843882148,"FLPSX,MACSX,TGINX","0.14083497864105626,0.31084441232620913,0.5483206090327346"
